glytoucan_ac	term	synonyms	term_in_sentence	publication	definition	term_xref	function	disease_associations	wikipedia	essentials_of_glycobiology	xref_key	xref_id
G02657AK	GD2		Ganglioside GD2 is a tumor-associated surface antigen found in a broad spectrum of human cancers and stem cells. [PMID: 25440605]	28154831|32002293|32733795|28145567|31500597|31903906|29180536|28415563|25440605|30617136|25604432|30198960|31075227|31721713|30955398|32195035|27304202|31015228|31653037|31016728|30670592|30613134|29221154|30027525|29442009|31762628|30485077|25642322|29436609|29151270|24773917|30612272|27654028|26298772	"A branched amino pentasaccharide consisting of a linear sequence of two α-sialyl residues, a β-D-galactosyl residue and an N-acetyl-β-D-glucosamine residue linked respectively (2→8), (2→8) and (1→4), to the galactosyl residue of which is also linked (1→4) an N-acetyl-β-D-glucosaminyl residue. It is the carbohydrate portion of ganglioside GD2.[CHEBI:59218]"	GlycoMotif:GGM.000094|GTC:G02657AK|CID:45266844|CHEBI:59218|GlycoEpitope:EP0061|SugarBind_Ligand:88		breast cancer[PMID:28415563]		Chapter 11|Chatper 35	glycan_xref_dictionary	GSD000085
G98544DH	GD3		"In mammalian cells, the intracellular accumulation of ganglioside GD3, an acidic glycosphingolipid, contributes to mitochondrial damage, a crucial event during the apoptopic program. [PMID: 12531552]"	30245960|27591028|12531552|29069780|12470841|29436609|28295752|27304202|31138648|27288875|30446565|8721669|3903474|16081368|32743804|24372645|26792897|20890432|25330147|20581115|11174200|16040804|23783008|17368571|11023989|12901230|21807667|7061953|2231782|19423750|22632091|18202973|6392333|15896784|8261439|20052288|12847141|12486096|12118012|19912988|22795094|18655184|17043769|21395555|2472199|19776077	"A linear amino tetrasaccharide consisting of two sialyl, one galactose and one glucose residue (at the reducing end) connected by sequential α-(2→8)-, α-(2→3)- and β-(1→4)-linkages. The oligosaccharide of ganglioside GD3.[CHEBI:59210]"	GlycoMotif:GGM.000091|GTC:G98544DH|CID:45266862|CHEBI:59210|GlycoEpitope:EP0062|SugarBind_Ligand:89|MeSH:C509062		Cholera[SugarBind_Ligand:89]|Influenza[SugarBind_Ligand:89]		Chapter 11	glycan_xref_dictionary	GSD000086								
G00061MO	Globoside	Cytolipin K|Gb4|Globoside I|Globotetraosylceramide|P antigen	Results of TLC immunostaining of neutral glycolipids from the cDNA-transfected cells also supported the identity of the newly synthesized component as globoside. [PMID:10993897]	10993897		GlycoMotif:GGM.000070|GTC:G00061MO				Chapter 47	glycan_xref_dictionary	GSD000087
G00061MO	Globotetraosylceramide	Gb4Cer|Gb4|Globoside|P antigen|Cytolipin K	Here we report that PUGNAc treatment provokes globotetraosylceramide (Gb4Cer) accumulation in human umbilical vein endothelial cells (HUVEC).[PMID:28392398]	28392398|25787850|23471986|2559078|32455599|2663859|32796033|3517161|20082214|30853699|15279935|26104834|20732996|30224239|31142708|30338271|25033755|30413389|7104376|29866658|24983355|6794884|31361021|21740983|33168837|31752441|28123520|29068380|24841197|27932383|28535204|31691795|27916888|27558838|10227680|26464281|22348006|22279060|25156739|32314902|22718629|23701631|23906628|8613382|23555772|20059899|7868240	"An amino tetrasaccharide consisting of 2-acetamido-2-deoxy-β-D-galactopyranosyl, α-D-galactopyranosyl, β-D-galactopyranosyl, and β-D-glucopyranose units joined together in sequence by (1→3), (1→4), and (1→4) glycosidic linkages, respectively.[CHEBI:145578]"	GlycoMotif:GGM.000070|GlycoEpitope:EP0073|CID:5288889|CHEBI:145578|SugarBind_Ligand:18|MeSH:C024032		Actinomycosis[SugarBind_Ligand:18]|Pyelonephritis[SugarBind_Ligand:18]|Acute cystitis[SugarBind_Ligand:18]|Shigellosis[SugarBind_Ligand:18]|Lazy leukocyte syndrome[SugarBind_Ligand:18]|Influenza[SugarBind_Ligand:18]		Chapter 11	glycan_xref_dictionary	GSD000088
G00059MO	Globotriaosylceramide	Gb3|GL3|Pk antigen|P^K antigen|Gb(3)|Gb_3|CD77|globotriaosylceramide|ceramide trihexoside|CTH|Trihexosylceramide	Defects in the gene encoding α-galactosidase A lead to accumulation of globotriaosylceramide (GL3) in various cell types.[PMID:32127409]	32127409|28674962|30875019|30413389|31778662|31101366|24335674|31241709|24158513|28947349|31566927|28672034|31939530|29530250|27851774|26426881|25031264|29982630|24496231|29983334|28756410|27190352|29274327|29099167|28402705|23680766|28625968|26960552|26797827|22742555|27756537|31630715|3827883|28384397|29523338|31010832|27195818|26661087|23093409|30879639|27081853|17409683|29921669|25575293|26291612|23146289|25857295|26070511	Globotriaosylceramide is a type of globoside(glycosphingolipid) which is formed by alpha linkage of galactose to lactosylceramide. The reaction is catalyzed by enzyme A4GALT.[Wiki:Globotriaosylceramide]	GlycoMotif:GGM.000068|GTC:G00059MO|GlycoEpitope:EP0071|CID:5279515|CHEBI:68485|MeSH:C018549|SugarBind_Ligand:27		Pyelonephritis[SugarBind_Ligand:27]|Acute cystitis[SugarBind_Ligand:27]|Shigellosis[SugarBind_Ligand:27]|Lyme disease[SugarBind_Ligand:27]|Cutaneous lesions[SugarBind_Ligand:27]|Diarrhea[SugarBind_Ligand:27]			glycan_xref_dictionary	GSD000089
G71142DF	Glucosylceramide	GlcCer|Glucocerebroside|Ceramide monohexoside|CMH	"Glucosylceramide (GlcCer), the initial GSL synthesized from ceramide by GCS (GlcCer synthase), is required for embryonic survival, but its role in the lung is unknown.[PMID:31265321]"	31265321|29290548|29627573|20919653|28427052|30550553|24415933|31914593|31051284|23073611|30146946|31619618|26840726|29750412|8065509|27412675|27840079|30611744|31353719|25661072|28686011|25803043|28865794|28154347|31466334|30242129|12531551|30639288|30864417|27711049|22764777|27905603|29077010|28744000|23555901|24115322|12803919|29204666|23628459|28851512|26136173|23563543|30110701|26572681|2193825|29926415|31727994|27479571	"Cerebrosides which contain as their polar head group a glucose moiety bound in glycosidic linkage to the hydroxyl group of ceramides. Their accumulation in tissue, due to a defect in beta-glucosidase, is the cause of Gaucher's disease.[MeSH:D005963]"	MeSH:D005963|GlycoMotif:GGM.000060|CHEBI:83264|GTC:G71142DF	"The structural characterization of mixed membranes made of cationic lipids and glucosylceramides may be important for developing novel immunotherapeutic tools such as vaccine adjuvants.[PMID:30611744]|Glucosylceramide (GlcCer), the initial GSL synthesized from ceramide by GCS (GlcCer synthase), is required for embryonic survival, but its role in the lung is unknown.[PMID:31265321]"	Gaucher's Disease|Pharyngitis[SugarBind_Ligand:3]|Tracheobronchitis[SugarBind_Ligand:3]|Pleuropneumonia[SugarBind_Ligand:3]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:3]|Diarrhea[SugarBind_Ligand:3]		Chapter 31	glycan_xref_dictionary	GSD000090
G48558GR	GM1	GM1 ganglioside|GM1-ganglioside	"GM1-induced fluidization of the phospholipid membranes and probable physical contact between bulky sugar head group of GM1 and spectrin, may explain the modulatory role of GM1 on aminophospholipid interactions with nonerythroid brain spectrin.[PMID: 29920238]"	18524657|31761138|36180805|29920238|33859490|31937438|25762012|25931034|31776384|32013258|30776097|31048748|31447771|30292198|28796418|27806275|21076871|27552916|17986147|26960162|27815022|25851126|32916822|11462671|28236574|15911874|28577204|28497346|1794005|31934908|30267299|16902585|29439846|32325905|29747823|27576485|26338710|27858734|24501414|26818965|26629687|26958633|1854596|32134593|32198666|6619101	A branched amino pentasaccharide consisting of the linear sequence β-D-Gal-(1→3)-β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to the inner galactose via an α-(2→3) linkage. The oligosaccharide of ganglioside GM1a.[CHEBI:59208]	GlycoMotif:GGM.000098|GTC:G48558GR|CID:196569|CHEBI:59208|GlycoEpitope:EP0050|SugarBind_Ligand:13|KEGG:G00110	"The branched pentasaccharide chain of ganglioside GM1 is a prominent cell surface ligand, for example, for cholera toxin or tumor growth-regulatory homodimeric galectins.[PMID:16267866]"	GM1 gangliosidosis (GM1) [PMID: 33859490]|Gastroenteritis[SugarBind_Ligand:13]|Actinomycosis[SugarBind_Ligand:13]|Lazy leukocyte syndrome[SugarBind_Ligand:13]|Toxoplasmosis[SugarBind_Ligand:13]|Cholera[SugarBind_Ligand:13]|Botulism[SugarBind_Ligand:13]	https://en.wikipedia.org/wiki/GM1	Chapter 11| Chapter 14	glycan_xref_dictionary	GSD000091
G79389NT	GM2		"GM1 gangliosidosis has both central nervous system and systemic findings; while, GM2 gangliosidosis is restricted primarily to the central nervous system.[PMID: 27491214]"	29618308|27491214|32867370|30030044|27499644|31097363|29100724|27402091|31852956|30389374|30988135|8786814|14533808|23370522|28192816|32692591|29106755|28833537|11339652|9728335|27270764|9714704|26175473|27018595|28615102|28974375|32951593|11462672|28955902|17192692|26538065|25421609|9572057|11596983|15264019|23236285|11596984|31261761|30113798|24391178|24309906|22224667|7980537|18272501|9006924|	A branched amino tetrasaccharide consisting of the linear sequence β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to the galactose via an α-(2→3) linkage. Corresponds to the carbohydrate portion of ganglioside GM2.[CHEBI:59220]	GlycoMotif:GGM.000095|GTC:G79389NT|CID:45266845|CHEBI:59220|GlycoEpitope:EP0051|SugarBind_Ligand:39|KEGG:G00109|KEGG:G10351		lung adenocarcinoma[GlycoEpitope:EP0051]|embryonal carcinoma[GlycoEpitope:EP0051]|germ cell tumor[GlycoEpitope:EP0051]|teratocarcinoma[GlycoEpitope:EP0051]|squamous cell carcinoma[GlycoEpitope:EP0051]|Gastroenteritis[SugarBind_Ligand:39]|Cholera[SugarBind_Ligand:39]|Clostridial myonecrosis[SugarBind_Ligand:39]|Tetanus[SugarBind_Ligand:39]	https://en.wikipedia.org/wiki/GM1_gangliosidoses	Chapter 11	glycan_xref_dictionary	GSD000092
G91237TK	GM3		We also demonstrated an essential role of GM3 in murine and human auditory systems; a common pathological feature of GM3S deficiency is deafness. [PMID: 29747813]	29376491|29747813|25613425|30318083|31526872|31004109|28019668|26434718|27313500|27539856|30111401|28544772|29407985|19364317|30190430|31297734|30091781|26043887|32183071|30665141|27873002|25801320|30209782|32378734|23050851|22768242|14993837|24934090|17638075|21518140|26102277|19759399|24502144|25303960|23564406|16636105|16491123|11259118|15102521|12724312|24985965|8496625|25403557|15690123|15939439|25893133|23591593|20634908|2004380|739008|	"Ganglioside GM3 (d18:1/16:0) is a glycosphingolipid (ceramide and oligosaccharide)or oligoglycosylceramide with one or more sialic acids (i.e. n-acetylneuraminic acid) linked on the sugar chain. It is a component the cell plasma membrane which modulates cell signal transduction events. Gangliosides have been found to be highly important in immunology. Ganglioside GM3 carries a net-negative charge at pH 7.0 and is acidic. Gangliosides can amount to 6% of the weight of lipids from brain, but they are found at low levels in all animal tissuesGangliosides are glycosphingolipids. There are four types of glycosphingolipids, the cerebrosides, sulfatides, globosides and gangliosides. Gangliosides are very similar to globosides except that they also contain N-acetyl neuraminic acid (NANA) in varying amounts. The specific names for the gangliosides provide information about their structure. The letter G refers to ganglioside, and the subscripts M, D, T and Q indicate that the molecule contains mono-, di-, tri and quatra-sialic acid. The numbered subscripts 1, 2 and 3 refer to the carbohydrate sequence that is attached to the ceramide. In particular, 1 stands for GalGalNAcGalGlc-ceramide, 2 stands for GalNAcGalGlc-ceramide and 3 stands for GalGlc-ceramide. Deficiencies in lysosomal enzymes that degrade the carbohydrate portions of various gangliosides are responsible for a number of lysosomal storage diseases such as Tay-Sachs disease, Sandhoff disease, and GM1 gangliosidosis. The carbohydrate portion of the ganglioside GM1 is the site of attachment of cholera toxin, the protein secreted by Vibrio cholerae.[HMDB0004844]"	GlycoMotif:GGM.000090|GTC:G91237TK|CID:5288424|CHEBI:59226|GlycoEpitope:EP0053|SugarBind_Ligand:35	Membrane stabilizer|Energy source|Energy storage|Molecular messenger:|Signaling molecule[HMDB0004844]	Gastroenteritis[SugarBind_Ligand:35]|Chronic gastritis[SugarBind_Ligand:35]|Toxoplasmosis[SugarBind_Ligand:35]|Peptic ulcerSugarBind_Ligand:35]|Gastric cancer[SugarBind_Ligand:35]|Influenza[SugarBind_Ligand:35]|Diarrhea[SugarBind_Ligand:35]|Botulism[SugarBind_Ligand:35]		Chapter 37	glycan_xref_dictionary	GSD000093
G30207PZ	GM4	Sialylated GalCer	"GM4 is synthesized by the sialylation of galactosylceramide (GalCer), while the ganglioside GM3 is synthesized by the sialylation of lactosylceramide (LacCer).[PMID:23999868]"	23999868|2332419|12091485|19542236|8407875|23320941|28808804|3621237|23203271|7057115|26362868|6170387|18034482|7076644|2391348|25464080|3701369|11217952|6201236|30744426|9388026|27177620|30246056|15979459|7586078|6779816|29402905|7335153|3306476|17499534|7074082|9668345|3701884|26862430|6831238|27311552|26831445|24417799|7097284|4169231|16854400|26483798	An amino disaccharide consisting of β-D-galactose having an α-N-acetylneuraminyl residue attached at the 3-position [CHEBI:63155]	GlycoMotif:GGM.000089|GTC:G30207PZ|CID:5289366|CHEBI:63155|KEGG:G00317|SugarBind_Ligand:110		Chronic gastritis[SugarBind_Ligand:110]|Peptic ulcers[SugarBind_Ligand:110]|Gastric cancer[SugarBind_Ligand:110]		Chapter 11|Chapter 15|Chapter 44|Appendix 45A	glycan_xref_dictionary	GSD000094
G93805MV	GP1c		"n this report, we describe an efficient convergent synthesis of the GP1c glycolipid epitope, which is one of the most complex c-series gangliosides. [PMID:19053458]"	1606358|19053458|1695858|4091974|10775425|2468656|2299350|3064875|11432974|9613831|11831845|1879553|10699494|8969459|8474578|12031286|1304332|9153001|10564776		GlycoMotif:GGM.000118|GTC:G93805MV				Chapter 11|Chapter 14|Chapter 27|Chapter 35|Chapter 45 |Chapter 47|Chapter 49	glycan_xref_dictionary	GSD000095
G18625KA	GQ1b		Bilateral infusion of GQ1b into the hippocampus ameliorates cognitive deficits in the triple-transgenic AD mouse model (3xTg-AD).[PMID:31186474]	30798387|31186474|26704905|23677659|26984947|24184316|23804237|9819299|18514410|22189683|24859332	"An amino oligosaccharide that is a branched octasaccharide derivative consisting of four sialyl residues, two galactose residues, one N-acetylglucosamine and a glucose residue at the reducing end.[CHEBI:59212]"	GlycoMotif:GGM.000115|GTC:G18625KA|GlycoEpitope:EP0069|CID:45266843|KEGG:G00117|CHEBI:59212				Chapter 11	glycan_xref_dictionary	GSD000096
G54733XO	GQ1ba	GQ1balpha	A few studies have reported the association of autoantibodies to GM1 or GQ1bα with Alzheimer's disease (AD) or vascular dementia.[PMID:25024341]	25024341|23717411|17870542|10702226|21137678|26748510|8662799|21274438|24649890|16580208|28124591|20095613|17507233|23565921|14505645|20930939|9201997		GlycoMotif:GGM.000116|GTC:G54733XO					glycan_xref_dictionary	GSD000097
G99524KA	GQ1c		"The neural specific monoclonal antibody A2B5 was found to interact with GQ1c but not with Gq1b, nor did it interact with other glycolipids such as GM1, GD1a, GD1b, GT1a, GT1b and GA1.[PMID: 6640289]"	6640289|1695858|7798936|1729139|2468656|20368669|2723647|1814411|3064875|6085330|1613492|17883393|11831845|10775425|8219015|8804704|1384262|7066685|2299192|9613831|10350354|1304337|9153001|11959025|8474578|2299350|10564776|10699494|3942818|12031286|7361620	Alpha-Neu5Ac-(2-&gt;8)-alpha-Neu5Ac-(2-&gt;8)-alpha-Neu5Ac-(2-&gt;3)-[alpha-Neu5Ac-(2-&gt;3)-beta-D-Galp-(1-&gt;3)-beta-D-GalpNAc-(1-&gt;4)]-beta-D-Galp-(1-&gt;4)-beta-D-Glcp is a member of neuraminic acids and an amino octasaccharide.[CID:91860352]	GlycoMotif:GGM.000117|GTC:G99524KA|CID:91860352|CHEBI:145645|KEGG:G00121				Chapter 46	glycan_xref_dictionary	GSD000098
G68110IF	GT1a		"GT1a mimicry was found in the lipo-oligosaccharides of strain ICDCCJ07002 and ICDCCJ07004; but a combination of GM3/GD3 mimics was observed in ICDCCJ07001, although this patient had anti-GT1a IgG antibodies.[PMID:26197476]"	12023422|32623212|26197476|9585812|29747820|23804237|11993188|31683059|19631994|9742882|29709941|8971119|8706663|893404|31829433|8910600|30600291|29319803|26176883|29063860|6766128|31602715|29808463|30711390|29847988|30116054|28187751	"A branched heptasaccharide derivative consisting of three sialyl residues, two galactose residues, one N-acetylglucosamine and a glucose residue at the reducing end.[CHEBI:59215]"	CID:45266863|GlycoMotif:GGM.000110|GTC:G68110IF|GlycoEpitope:EP0066|KEGG:G00112|CHEBI:59215					glycan_xref_dictionary	GSD000099
G02149VR	GT1a alpha	GT1aa	"A new class of gangliosides, GT1a alpha and GQ1b alpha, were initially identified as cholinergic neuron-specific antigens in bovine brain. [PMID:8082783]"	7710562|8082783|10972137|9468624|9143254|8221098|9679279|11368158|11878808		GlycoMotif:GGM.000111|GTC:G02149VR|GlycoEpitope:EP0111|CID:91851751|CHEBI:156678|KEGG:G00128	GT1a alpha was a cholinerginic-specific antigen.[GlycoEpitope:EP0111]				glycan_xref_dictionary	GSD000100
G40183QN	GT1b		GT1b ganglioside is axonally transported to the spinal cord dorsal horn and contributes to characteristics of neuropathic pain such as mechanical and thermal hypersensitivity.[PMID: 32030804]	32030804|26370787|32046393|9712688|7636307|9931455|25520869|19605473|17188834|10233751|22735313|20540782|22746533|1861141|19490186|9521848|11921200|10731661|31431523|15274627|32726962|12573517|18277613|11370834|11234774|11123278|18704164|16291967|11411041|27549393|25253868|22720883|10686582|11511306|29904724|31472390|19156870	"A branched amino heptasaccharide comprising a β-D-galactosyl-(1→4)-β-D-glucose disaccharide, the galactosyl residue of which carries an N-acetyl-α-neuraminyl-(2→3)-β-D-galactosyl-(1→3)-N-acetyl-β-D-galactosaminyl trisaccharide unit and an N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl disaccharide unit through (2→4) and (2→3) linkages respectively. It corresponds to the carbohydrate portion of ganglioside GT1b.[CHEBI:59225]"	GlycoMotif:GGM.000112|GTC:G40183QN|GlycoEpitopeEP0067|CID:45266781|CHEBI:59225| GlycoGlycoEpitope:130680|SugarBind_Ligand:26|KEGG:G00116		Toxoplasmosis[SugarBind_Ligand:26]|Lyme disease[SugarBind_Ligand:26]|Cholera[SugarBind_Ligand:26]|Botulism[SugarBind_Ligand:26]|Tetanus[SugarBind_Ligand:26]|Influenza[SugarBind_Ligand:26]			glycan_xref_dictionary	GSD000101
G78818SP	GT1c		"We show here that VVH associates with ganglioside GM1a, Fucosyl-GM1, GD1a, GT1c, and GD1b by glycan array.[PMID: 32228455]"	28088450|30085356|32228455|2468656|19841910|23877172|1695858|10564776|1613492|8474578|7798936|11180643|2723647|7066685|9613831|7361620|10699494	"A branched amino heptasaccharide consisting of a linear tetrasaccharide of β-D-galactose, N-acetyl-β-D-galactosamine, β-D-galactose and β-D-glucose residues linked sequentially (1→3), (1→4) and (1→4), to the galactose residue proximal to the reducing end is also linked (2→3) an N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl trisaccharide side-chain. The carbohydrate moiety of ganglioside GT1c.[CHEBI:90509]"	GlycoMotif:GGM.000113|GTC:G78818SP|CID:91846734|CHEBI:90509|GlycoEpitope:EP0033|KEGG:G00120					glycan_xref_dictionary	GSD000102
G36476BA	GT2		"Biosynthesis of the c-series gangliosides GT3, GT2 and GP1c was studied in Golgi derived from rat liver.[PMID:1606358]"	1606358|15498585|16005859|27540730|31533196|31201844	"A branched amino hexasaccharide consisting of a chain of three α-sialyl residues, a β-D-galactosyl residue and a β-D-glucose residue linked sequentially (2→8), (2→8), (2→3) and (1→4), to the galactosyl residue of which is also linked (1→4) an N-acetyl-β-D-galactosaminyl residue. The carbohydrate moiety of ganglioside GT2.[CHEBI:72446]"	GlycoMotif:GGM.000109|GTC:G36476BA|CID:70788971|CHEBI:72446|KEGG:G00119				Chapter 11	glycan_xref_dictionary	GSD000103
G93899SO	GT3		The purpose of this study was two-fold: (1) to formulate γ-tocotrienol (GT3) in a nanoemulsion formulation as a prophylactic orally administered radioprotective agent; and (2) to optimize the storage conditions to preserve the structural integrity of both the formulation and the compound.[PMID: 28029115]	28029115|31355968|30987413|27869747|27216753|8631981|29672891|10385047|29642403|10412028|27193023|30068561|23415908|8858920|2303428|27153057|27128741|2654294|26930378|7561885|25860286|30845647|24712339|30070965|8910600|1606358|27356050|8514740|18509108|23000517|29769046|29566611	"A linear amino pentasaccharide consisting of a chain of three α-sialyl residues, a β-D-galactosyl residue and a β-D-glucose residue linked sequentially (2→8), (2→8), (2→3) and (1→4).[CHEBI:72444]"	GlycoEpitope:EP0070|KEGG:G00118|CID:70788970|GlycoMotif:GGM.000092|GTC:G93899SO|CHEBI:72444				Chapter 11	glycan_xref_dictionary	GSD000104
G55220VL	High mannose	oligomannose|oligomannose-type|high mannose glycans|high-mannose-type glycans|high mannose N-glycans|high mannose type N-glycans|high-mannose type N-glycans|high-mannose-type N-glycans|high-mannose-type sugars	Each glycoform contained a number of peaks differing by 162 Da indicating heterogeneity and suggesting the presence of high-mannose sugars.[PMID:11258925]	11258925|17956937|2059624|2065054|26791533|4077844|7780197|9136890|30659065|30075362|21421994|31076349|29738673|29508223|26747427|30634645|23007868|29051951|24549150|12417032|26724786|26956389|26493153|31102532|29673624|8348230|25586968|24975601|29803109|28465212|25776945|30151520|21097542|24326091|27995699|26003537|6722291|2925680|25565276|21460211|25196214|27387600|22373601|3729933|16423983|24174266|30605318|32371950	An N-linked oligosaccharide that possesses between five and nine mannose residues attached to the chitobiose [(GlcNAc)2] core. [CHEBI:5717] None of the Man residues are substituted with any monosaccharide other than Man .	GTC:G55220VL|CID:70698382|CHEBI:71514	Involved in promotion of protein folding in ER. [PMID:12417032].|High Man glycans are enriched at cell surface during apoptosis.[PMID: 17516205]	Relative abundance changes in multiple CDGs [PMID: 30770376][PMID: 28484880]		Chapter 17	glycan_xref_dictionary	GSD000108
G54406UD	HNK-1	HNK-1 carbohydrate epitope|CD57|HNK-1 antigen|HNK-1 epitope	"The human natural killer-1 (HNK-1) carbohydrate, a unique trisaccharide possessing sulfated glucuronic acid in a non-reducing terminus (HSO3-3GlcAß1-3Galß1-4GlcNAc-), is highly expressed in the nervous system and its spatiotemporal expression is strictly regulated.[PMID:28709864]"	28709864|31738061|26738850|30306736|11070366|20855890|18024472|22669261|19729452|19796667|26850637|11769463|18263654|15843379|26659409|9003039|22087768|21771787|15173636|9210489|15258996|17924534|26382082|16171882|18802400|9800516|7504418|11891229|15232286|9013478|21621858|11677051|18668221|11414798|19265195|8982638|8798480|28403522|17935701|1691305|10998116|9364602|7528651|12472892|21176892|28416698|19389918|28427937|25450311	"An amino trisaccharide consisting of a 3-O-sulfo-β-D-glucuronic acid residue, a D-galactosyl residue and an N-acetyl-D-glucosamine residue (at the reducing end) in a linear sequence.[CHEBI:60322]"	GTC:G54406UD|GlycoEpitope:EP0001|CID:46906103|CHEBI:60322|GlycoMotif:GGM.000058	learning and memory[GlycoEpitope:EP0001]|neural crest cell migration[GlycoEpitope:EP0001]|neurite extension[GlycoEpitope:EP0001]|neuron-astrocyte adhesion[GlycoEpitope:EP0001]	schizophrenia-like psychosis[GlycoEpitope:EP0001]|neuropathy[GlycoEpitope:EP0001]|exfoliation syndrome[GlycoEpitope:EP0001]|secondary cataract[GlycoEpitope:EP0001]	https://en.wikipedia.org/wiki/N-linked_glycosylation	Chapter 17	glycan_xref_dictionary	GSD000109
G16828VN	Hybrid		"A hybrid-type N-glycan was accessed by total synthesis, converted to an oxazoline, and used as a donor substrate with both wild type Endo M and an N175Q glycosynthase Endo M mutant allowing the convergent synthesis of a glycosylated amino acid bearing a hybrid N-glycan structure. [PMID:27058295]"	27058295|15044398|28714086|29578688|26999365	An N-linked glycan in which the Manα1-6 arm of the trimannosyl core Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1–4GlcNAcβ1–Asn-X-Ser/Thr is substituted by one or more additional Man residues and the Manα1-3 arm is substituted by a GlcNAc residue added by GlcNAcT1. The GlcNAc linked to the a3 Man can be extended in the same manner as any complex glycan antenna. The trimannosyl core can also be core fucosylated and/or bisected by the addition of a GlcNAc to the 3 position of the α-linked Man residue.[Essentials of Glycobiology:Chapter 9]	GTC:G16828VN|CID:91847108|CHEBI:147471				Chapter 9	glycan_xref_dictionary	GSD000110
G29086KO	Hyaluronan	HA	"Hyaluronan (HA) comprises a major component of the extracellular matrix (ECM) in vertebrate connective tissues and is abundant in the cartilage, skin, brain, vitreous body, umbilical cord, and synovial fluid. [PMID:33171800]"	33171800|34209222		GTC:G29086KO					glycan_xref_dictionary	GSD000183
G00058MO	i antigen	linear poly-N-acetyllactosamine|poly-LacNAc	"Inasmuch as the hybridoma was established by hybridization of lymphocytes derived from regional lymph nodes of lung cancer, and the antigen was found in the patient's lung cancer tissue, the i antigen in lung cancer is probably recognized as a tumor-associated antigen by the host's immune cell system.[PMID:2422274]"	2422274|15679458|21912254|12468428|28508465|6203982|30728302|8449405|9122902|10360315|6159787|6183759|518539|6715951|21933024		GlycoMotif:GGM.000004|GlycoMotif:GGM.000002|GTC:G46055MA|GTC:G00058MO					glycan_xref_dictionary	GSD000111
G56045WU	I antigen	I blood group antigen|branched poly-N-acetyllactosamine 	"The I antigen is formed by the action of an enzyme (a glycosyltransferase), which adds branches onto the i antigen.[PMID:15679458]"	15679458|21912254|30705292|33403394|6715951|12468428|6088627|6159787	"N-[(2R,3R,4R,5S,6R)-5-[(2S,3R,4S,5S,6R)-4-[(2R,3R,4R,5S,6R)-3-Acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-6-[[(2R,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide (CHEBI:151390) is a amino sugar.[CHEBI:151390]"	GlycoMotif:GGM.000003|GlycoEpitope:EP0138|GTC:G56045WU|CID:91852915|CHEBI:151390				Chapter 9	glycan_xref_dictionary	GSD000112
G57710SU	Isoglobotetraosylceramide		"Furthermore, isoglobotetraosylceramide seems to play a direct role in the metastatic process since the blocking of exposed antigen with monoclonal antibodies, or their Fab fragments, results in a highly significant decrease in lung colony formation.[PMID:8504431]"	1396705|8504431|2713378|3489485|18997175|7053385|3379797|2465279|3743633|11479210		GlycoMotif:GGM.000071|GTC:G57710SU|CID:91849719|KEGG:G03211|CHEBI:148232|SugarBind_Ligand:17	a marker for highly metastatic cells in rat mammary adenocarcinomas[PMID:8504431]	Actinomycosis[SugarBind_Ligand:17]	https://en.wikipedia.org/wiki/Ii_antigen_system		glycan_xref_dictionary	GSD000113
