source_term	target_term	source_term_frequency	glytoucan_ac	mapping_flag	mapping_score
agalactosyl bi-antennary glycans		1			0
monogalactosyl bi-antennary glycans		1			0
#3410		1			0
#3510		1			0
#4510		1			0
hyperglycosylated Wisteria floribunda agglutinin-positive Mac-2 binding protein (WFA(+)-M2BP)		1			0
hybrid type glycans		1			0
m/z 1708		1			0
m/z 1914		1			0
m/z 1708/1914 ratio		1			0
high mannose type N-glycans	High mannose	1	G55220VL	gsd_strict	2
sialylated O-linked glycan		1			0
N-glycan of high mannose and/or hybrid type		1			0
bisecting-GlcNAc		1			0
type 1-(Galβ-3GlcNAc)-terminating backbone sequence		1			0
type 2-(Galβ-4GlcNAc) analog		1			0
mono-sulfated type 2 chain with 6-sulfation at the penultimate N-acetylglucosamine		1			0
Wisteria floribunda agglutinin positive Mac-2 binding protein (WFA+-M2BP)		1			0
G0 glycoform		1			0
G1 glycoform		1			0
G2 glycoform		1			0
α-2,3-terminal sialic acid		1			0
3-deoxyglucosone		1			0
advanced glycation endproducts (AGEs)-Nε-carboxymethyl-lysine (CML)		1			0
Nω-carboxymethylarginine (CMA)		1			0
3-deoxyglucosone-derived hydroimidazolone (3DG-H)		1			0
o,o'-dityrosine (DT)		1			0
methylglyoxal-derived hydroimidazolone (MG-H1)		1			0
glucose monomycolate (GMM)		1			0
Early- and advanced-glycation products (EGAs and AGEs)		1			0
3-O-alpha-L-fucopyranosyl-2-acetamido-2-deoxy-D-glucopyranose		1			0
2-acetamido-2-deoxy-3-O-(alpha-L-fucopyranosyl)-4-O-(beta-D-galactopyranosyl)-D-glucopyranose		1			0
α-1 acid glycoprotein		1			0
serum amyloid A		1			0
α(1,6)linked fucose residues		1			0
alpha-2,6-sialylated Hp		1			0
alpha-1,6-fucosylated Hp		1			0
alpha-D-galactose-binding plant lectin frutalin		1			0
differentially glycosylated form of CD3gamma		1			0
hyper-sialylation		1			0
N-linked carbohydrate groups		1			0
core alpha-1,6-linked fucose	Core-fucosylated	1	G78059CC	gsd_strict	2
under-glycosylated forms of MUC1		1			0
fully glycosylated MUC1		1			0
glycosides		1			0
H		1			0
high mannose form		1			0
Wheat Germ Agglutinin-reactive glycoproteins		1			0
sialyl Lewis A antigen		1			0
GP17		1			0
G12n		1			0
Fuc		1			0
high mannose and complex N-glycans		1			0
trigalactosylated (G3)		1			0
trisialylated (S3)		1			0
glycan 9200		1			0
fucosylated PON1		1			0
Neu5Acalpha2,6Gal		1			0
Neu5Acalpha2,3		1			0
Glycated Albumin		1			0
14-3-3 protein		1			0
N-linked oligosaccharide decorated with sialic acid		1			0
Maillard reaction product X (MRX)		1			0
fucosylated-sialylated glycans		1			0
hybrid monosialylated triantennary glycopeptide		1			0
(β-1,4) triantennary N-linked glycan		1			0
α-1,6-fucosylated PSA		1			0
O-glycan Core 1		1			0
core 2 [Galbeta1 --> 3(GlcNAcbeta1 --> 6)GalNAc]		1			0
alpha2,3-linked sialic acid		1			0
glycosylated CEA N-A3		1			0
N-linked carbohydrate chain		1			0
DF3 antigen		1			0
poly N-acetyllactosamines		1			0
core 2 beta-1,6 branch		1			0
CC49 epitope		1			0
CSLEX-1 epitope		1			0
SM-3 peptide epitope		1			0
NA3F		1			0
NA3		1			0
N-linked oligosaccharide chains containing sialic acid residues		1			0
hyperglucosylation		1			0
EA 1		1			0
beta1,6-branched polylactosamine		1			0
Tn-MUC1 (GalNAc-α-MUC1)		1			0
N- and O-linked carbohydrates		1			0
α2-6 sialylated N-glycans		1			0
Man8/9 N-glycans		1			0
Man5 N-glycans		1			0
Glycated CD59		1			0
galactosylated A1AT		1			0
fucosylated A1AT		1			0
A1AT containing poly-LacNAc		1			0
glycated Tf		1			0
NeuAc		1			0
beta Gal		1			0
alpha Fuc		1			0
ELF		1			0
galactose-deficient IgA1 (Gd-IgA1)		1			0
glycosylation at Asn51 and Asn78 sites		1			0
alpha2,6-sialic acid		1			0
O-glycosylated forms of T cell surface molecules		1			0
Advanced Glycation End Products (AGEs)		1			0
α1-2Fuc glycan		1			0
(N-acetylhexosamine)2 (deoxyhexose)(mannose)3 (N-acetylglucosamine)2		1			0
(hexose)(N-acetylhexosamine)2 (deoxyhexose)(mannose)3 (N-acetylglucosamine)2		1			0
(N-acetylneuraminic acid)(α2-6)galactose/N-acetylgalactosamine		1			0
truncated glycans		1			0
glycan at position 3		1			0
glycan at position 11		1			0
glycan component of gp41		1			0
Tn antigen (GalNAc alpha-O-Ser/Thr)		1			0
heparan sulfate (HS) oligosaccharide		1			0
N-linked and O-linked glycosylation		1			0
disaccharides		1			0
trisaccharides		1			0
MPL		1			0
VVA		1			0
SLeX	Sialyl Lewis x	1	G00054MO	gsd_strict	2
SLea	Sialyl Lewis a	1	G00053MO	gsd_strict	2
diSLeX		1			0
GlcNAc beta1-6 branched N-glycans		1			0
hypoglycosylated N-glycans		1			0
alpha-D-Neup5Ac-(2-->3)-beta-D-Galp-(1-->4)-D-GlcpNAc		1			0
234 gp120 glycan		1			0
276 gp120 glycan		1			0
disialyl Lewis(a)		1			0
sialyl 6-sulfo Lewis(x)		1			0
sialyl Lewis(a)		1			0
core-2-based Thr-linked O-glycan		1			0
GalNAcβ1,4GlcNAcβ		1			0
Sialyl-Tn antigen (STn)	Sialyl-Tn antigen	1	G36123IU	gsd_strict	2
Lewis type 2 antigens		1			0
glycosylated rHuG-CSF		1			0
α2-3 Linked N-Acetylneuraminic Acid		1			0
Core 1 O-Glycans		1			0
2G12 neutralizing epitope		1			0
biantennary fucosylated glycan without galactose (H3N4F1)		1			0
biantennary fucosylated glycan with two galactose (H5N4F1)		1			0
non-fucosylated glycans		1			0
sialyl Lewis a (SLea)		1			0
glucuronic acid/sulphate containing N-linked glycans		1			0
disialylated triantennary glycans		1			0
trigalactosylated, triantennary, disialylated, and trisialylated glycans		1			0
biantennary digalactosylated glycans with core fucose		1			0
sialylation of the CD45RA region		1			0
differential sialylation of the CD45RB region		1			0
sialyl lewis X (SLex)		1			0
branched O-linked glycans		1			0
high-mannose type oligosaccharide structures		1			0
PSA glycosylation		1			0
glycan N238		1			0
mannosyl-β1-phosphomycoketide		1			0
glucosylated MOG		1			0
sialyl-Lewis X (SLex; NeuAc alpha 2,3Gal beta 1,4(Fuc alpha 1,3)-GlcNAc-)		1			0
Nε-(Carboxymethyl)lysine		1			0
Glycosylated MUC1		1			0
alphaGalNAc		1			0
O-glycosylated fragment		1			0
3-sulfo Lewis x		1			0
6-sulfo Lewis x		1			0
A antigen		1			0
glycated Cu,Zn-superoxide dismutase		1			0
Glycated Hemoglobin		1			0
cancer associated glycosylation		1			0
4F2 heavy chain antigen		1			0
glycated lipoproteins, LDL		1			0
polylactoaminoglycans		1			0
polyglycosylceramides		1			0
lactotriaosylceramide	Lactotriaosylceramide	1	G06239NA	gsd_strict	2
neolactotetraosylceramide		1			0
globotetraosylceramide	Globotetraosylceramide	1	G00061MO	gsd_strict	2
poly-sialic acid		1			0
hexosylceramide		1			0
carbohydrate	Glycans	1		gsd_strict	2
N(epsilon)-fructoselysine		1			0
N(epsilon)-(carboxymethyl)lysine		1			0
malondialdehyde-lysine		1			0
histo-blood group antigens		1			0
d-ribose		1			0
Tn antigen (α-O-GalNAc-Ser)		1			0
Tn antigen (α-O-GalNAc-Thr)		1			0
N-glycosylated CD97		1			0
core-2 O-glycoform		1			0
Sialyl-Lewis x	Sialyl Lewis x	1	G00054MO	gsd_strict	2
glycosylated factor		1			0
immaturely glycosylated form		1			0
N-glycosyl chains		1			0
glycosylated full-length gp120		1			0
carbohydrate units		1			0
glycan N301		1			0
under-O-glycosylated IgA1		1			0
Lamp-1		1			0
sialyl Le(x) (sLe(x))		1			0
3-O-sulfated oligosaccharide chains terminated by a sulfated N-acetyllactosamine		1			0
sulfated Lewis A determinant		1			0
6-O-sulfated chain terminated by a sulfated H-2 determinant		1			0
glycated IgG		1			0
Con A-reactive moieties		1			0
LCA-reactive moieties		1			0
asialyl T		1			0
Asn58 glycosylation		1			0
Tn antigen (GalNAc alpha 1-O-Ser/Thr)		1			0
glycosylated LCs		1			0
Neu5Ac (alpha2,6) Gal/GalNAc		1			0
H-type-1 antigen		1			0
glycosylated rh-G-CSF		1			0
biantennary fucosylated glycan modification		1			0
sulfated lactosaminoglycan chains		1			0
sialokeratan sulfate epitope		1			0
branched mannose and N-acetylglucosamine		1			0
EV glycan signature		1			0
O-linked glycan structures	O-linked glycans	1		gsd_loose	2
serum alkaline phosphatases		1			0
beta1-6 branched N-linked oligosaccharides		1			0
CD66c		1			0
core 1 O-glycan motif		1			0
Wisteria floribunda agglutinin (WFA)		1			0
SialylTn (STn)	Sialyl-Tn antigen	1	G36123IU	gsd_strict	2
6SO4-Gal		1			0
N-glycoform		1			0
MUC1-TF		1			0
glycans present on gp120		1			0
alpha2,3-sialyl residues		1			0
glycated peptides		1			0
Tn-antigen (GalNAc-O-Ser/Thr)		1			0
IgG Fc N-glycosylation		1			0
alpha2,6-linked N-acetyl-D-neuraminic acid		1			0
alpha2,3-linked N-acetyl-D-neuraminic acid		1			0
unique N-glycan (Tf-1)		1			0
N-glycan similar to that of serum transferrin (Tf-2)		1			0
glycosylation aberrancies		1			0
α2,3sialylated T-antigen		1			0
mucin glycopeptides		1			0
6'-sulfo-sLe X		1			0
GlcNAc5,Hex6,Neu5Ac3		1			0
GlcNAc6,Hex7,Neu5Ac4		1			0
GlcNAc4,Hex5,Fuc,Neu5Ac		1			0
GlcNAc5,Hex6,Fuc,Neu5Ac2		1			0
GlcNAc6,Hex7,Fuc,Neu5Ac3		1			0
Fucalpha1-2Gal		1			0
bisecting GlcNAc-beta(1-->4) linkage		1			0
oligosaccharide markers		1			0
calprotectin		1			0
advanced oxidation protein products (AOPP)		1			0
glycosylation pattern of Ncr1-Noé		1			0
N-glycosylated NPC2		1			0
poly N-acetyl lactosamine		1			0
core-type fucosylation		1			0
N ε -carboxymethyl-lysine		1			0
N ε -(γ-glutamyl)lysine		1			0
glycated human serum albumin		1			0
glycated apolipoprotein A-I		1			0
MUC2 mucin		1			0
galactose-deficient hinge-region O-glycans (Gd-IgA1)		1			0
Gal3C-S		1			0
Lewis x epitope		1			0
sialylated Lewis x epitope		1			0
glycosylation profile		1			0
high mannose-glycosylated		1			0
PSA glycoforms		1			0
O-mannosylation		1			0
sialoglycoprotein CD43		1			0
Lactose		1			0
hypoglycosylated form of CD86		1			0
Lewis x carbohydrate epitope (Le(x))		1			0
mannose 6-phosphate		1			0
beta-D-Gal p-(1-->3)-alpha-D-Gal pNAc-(1-->O)-L-threonine		1			0
N-linked oligosaccharide moieties		1			0
sialyl-transferase		1			0
fucosyl-transferase		1			0
cell surface carbohydrates		1			0
2'-O-alpha-L-fucosyl-N-acetyllactosamine		1			0
3'-O-alpha-L-fucosyllactose		1			0
O-glycosidic-linked carbohydrates		1			0
light chain carbohydrate		1			0
Sialyl-Lex (sLex)		1			0
Pregnancy-Specific beta 1-Glycoproteins		1			0
blood group oligosaccharides		1			0
high-mannose N-linked carbohydrate chains		1			0
complex N-linked carbohydrate chains		1			0
high mannose glycoproteins		1			0
α-fetoprotein		1			0
chondroitin sulfate A		1			0
sialyl-Lewis(x)-saccharopeptides		1			0
high-mannose oligosaccharide		1			0
hybrid oligosaccharides		1			0
alpha-galactose residues		1			0
N-linked glycosyl units		1			0
glycosylation-rich region		1			0
WFA-sialylated MUC1		1			0
hypoglycosylated form of mucin		1			0
Carcinoembryonic Antigen		1			0
N-linked glycosylation epitope		1			0
carbohydrate antigen		1			0
Thomsen-Friedenreich (T)-antigen	T antigen	1	G00031MO	gsd_strict	2
high-mannose-type oligosaccharides	High mannose	1	G55220VL	gsd_loose	2
high-mannose type oligosaccharides		1			0
hybrid-type glycoproteins		1			0
(Hex)4(HexNAc)3		1			0
(Hex)4(HexNAc)4		1			0
(Hex)5(HexNAc)4		1			0
IgG agalactosylation		1			0
H3N4F1-a		1			0
H3N4F1-b		1			0
H4N3S1F1-e		1			0
H4N4F3SA		1			0
H4N6F2		1			0
H4N6SA		1			0
H5N4FSA		1			0
Sialyl Lewis(X)		1			0
GP21		1			0
GP22		1			0
agalactosylated glycoform of ASCA IgG		1			0
sialylated core 1 O-glycans		1			0
multifucosylated tetraantennary N-glycans		1			0
sialic acid receptors		1			0
fucosylated AFP		1			0
ICAM-1		1			0
MUC18		1			0
Tn neoantigen (GalNAcα1-O-Ser/Thr)		1			0
glycan age index		1			0
glycan age		1			0
agalactosylated		1			0
monogalactosylated		1			0
digalactosylated		1			0
complex-type biantennary N-glycans		1			0
Gal(β1-3)GalNAc (T-antigen)		1			0
Sia(α2-3)Gal(β1-3)GalNAc (Sialyl T)		1			0
Sia(α2-3)Gal(β1-3)Sia(α2-6)GalNAc (disialyl-T)		1			0
triantennary complex-type glycans		1			0
alpha-Gal antigen	Alpha-gal antigen	1	G24432YB	gsd_strict	2
LacNAc-containing glycans		1			0
paucimannosidic structures		1			0
glycan 2		1			0
agalactosylated (G0) Abs		1			0
glycosylated 400-kD precursor species		1			0
glycosylated isoforms		1			0
Glc1Man9GlcNAc2		1			0
Man8GlcNAc2		1			0
Man7GlcNAc2		1			0
N-linked oligosaccharide	N-linked glycans	1	G78059CC	gsd_strict	2
alpha-galactose-containing oligosaccharides		1			0
highly branched sugar chains		1			0
Gal beta 1----4(Fuc alpha 1----3)GlcNAc beta 1----		1			0
Neu5Ac alpha 2----3Gal beta 1----4GlcNAc beta 1----		1			0
fucosylated trimannosyl core		1			0
bisected biantennary sugar chain		1			0
glycosylated CD4		1			0
galactosides		1			0
glycosylated fraction		1			0
N-acetyl-lactosamine		1			0
Thomsen-Friedenreich (T) antigen	T antigen	1	G00031MO	gsd_strict	2
D-dimer		1			0
O-glycosidically linked proteins (NeuAcalpha2,6 Galbeta1,3GalNAcalpha1,0 Ser/Thr or sialyl-T-antigen)		1			0
underglycosylated mucin 1 (uMUC1)		1			0
9-O-acetylated sialoglycans		1			0
hyperglycosylated MUC1		1			0
N-glycan composition		1			0
3'-sialylated, 6'-sulfated LNnT		1			0
3'-sialylated, 6-sulfated core 1		1			0
disulfated core 1		1			0
mono- and disialylated sugar chains		1			0
HNK-1-capped core M2 glycan		1			0
high-mannose N-linked chains		1			0
oligomannose glycans		1			0
(GlcNAc)(2)(Man)(5)		1			0
(GlcNAc)(2)(Man)(4)		1			0
(GlcNAc)(2)(Fuc)(0-2)(Man)(2-3)		1			0
sialyl-Lewis C		1			0
HPA-positive glycotopes		1			0
E-selectin ligands		1			0
P-Selectin		1			0
glycosylated SIV gp120 core		1			0
Sd(a) antigen		1			0
N-linked sugars of high mannose types		1			0
sialyl Le(X)	Sialyl Lewis x	1	G00054MO	gsd_strict	2
oligosaccharide chain		1			0
K06 epitope of human CD43		1			0
cCLLa		1			0
Glycopeptides		1			0
sialyl-Lewisc		1			0
α1-3,4 fucosylation		1			0
C2-O-sLeX	C2-O-sLex	1	G97345NY	gsd_strict	2
tri antennary trigalactosylated trisialylated glycans		1			0
monoantennary glycan structures		1			0
bi and triantennary, di- and trigalactosylated, di- and trisialylated		1			0
9-O-acetyl-N-acetylneuraminic acid (Neu5,9Ac2)		1			0
9-acetamido-9-deoxy-N-acetylneuraminic acid (Neu5Ac9NAc)		1			0
β-galactofuranosyl (β-Galf) residues		1			0
carbohydrate antigen 19-9 (CA19-9)		1			0
carbohydrate antigen-S27 (CA-S27)		1			0
WFA-positive MUC1 (WFA<sup>+</sup>-MUC1)		1			0
WFA-positive M2BP (WFA<sup>+</sup>-M2BP)		1			0
sialyl Lewis(X) (sLe(x))		1			0
G2FN/G1FN		1			0
glycosylated Hb		1			0
sialyl-Le(a)		1			0
Thomsen-Friedenreich epitope	T antigen	1	G00031MO	gsd_strict	2
NƐ-(carboxylmethyl) lysine		1			0
glycosylated NTCP		1			0
Asn-linked oligosaccharide moieties		1			0
HCN5-CHOs		1			0
HCN1-CHOs		1			0
N-linked glycosylation sequences		1			0
sialosyl dimeric Le(x)		1			0
C gamma 2 structures		1			0
glycosilated surface nucleolin		1			0
galactose-deficient (Gd)-IgA1		1			0
high-mannose or hybrid types of oligosaccharides		1			0
asialofetuin-A		1			0
fully glycosylated		1			0
glycosylated DNA		1			0
polyglycylation		1			0
nonglycosylated amylin		1			0
N-glycosylated form		1			0
glycosylation inhibiting factor (GIF)		1			0
C-III<sub>0b</sub>		1			0
C-III<sub>2</sub>		1			0
galactose β1-4 N-acetylglucosamine (Gal-GlcNAc)		1			0
Lec		1			0
mucin core 2		1			0
glycated CD59		1			0
two glycan forms of fPSA		1			0
fully glycosylated forms of MUC1		1			0
differentiation-dependent glycoforms		1			0
DU-PAN-2		1			0
GPI-anchored glycoprotein		1			0
tri-antennary complex type glycan (m/z 3195)		1			0
glycan ratio (m/z 3195/1914)		1			0
di-sialylated glycans		1			0
mono-sialylated ApoC-III		1			0
desialylated A2HSG		1			0
capsular polysaccharides		1			0
sialyl Lewis X (sLeX) antigen		1			0
IgA1		1			0
core-fucosylated tetraantennary oligosaccharides		1			0
N-linked fetuin glycans		1			0
core 1 sialyl Lewis A		1			0
Thomsen-Friedenreich-antigen	T antigen	1	G00031MO	gsd_strict	2
core fucosylated α2-6 monosialo-biantennary structure		1			0
truncated O-linked glycans		1			0
carbohydrate-induced conformational tumour-epitope		1			0
Glycosphingolipids		1			0
Hex5HexNAc4NeuAc1dHex1		1			0
monosialylated		1			0
unfucosylated		1			0
mannosylation-6 phosphate		1			0
Lewis blood group family antigens		1			0
Lex	Lewis x	1	G00051MO	gsd_strict	2
sialyl Lexa		1			0
heparan sulfate (HS)		1			0
glycosylated Eng		1			0
glycosylated Flt-1		1			0
glycopeptide		1			0
sialyl moiety		1			0
trisaccharide glycan		1			0
core 2 O-glycan structures	Core 2	1	G00033MO	gsd_loose	2
high-mannosylation		1			0
total sialylation		1			0
intact glycans		1			0
altered glycans		1			0
multibranched complex-type N-glycans		1			0
tri-antennary complex-type N-glycans		1			0
bi-antennary complex-type N-glycans		1			0
Neu5Acα2-3(6-O-sulfo)Galβ1-4GlcNAc		1			0
N-Linked glycans	N-linked glycans	1	G78059CC	gsd_strict	2
tyrosine sulfate		1			0
hybrid, oligomannose, and biantennary digalactosylated monosialylated glycans (M5A1G1S1, M8, and A2G2S1)		1			0
bisecting glycans (A2B, A2(6)BG1)		1			0
monoantennary glycans (A1)		1			0
triantennary trigalactosylated trisialylated glycans (A3G3S3 and FA3G3S3)		1			0
SiaTn		1			0
6-OSulfo-TF		1			0
6-OSulfo-LN		1			0
SiaLea		1			0
fucosylated biantennary oligosaccharides		1			0
sialyl(NeuGl)-TF, Gal beta 1-3(NeuGl alpha 2-6)GalNAc		1			0
sialylated trisaccharides NeuAc alpha 2-3Gal Beta 1-3GalNAc		1			0
L-fucose		1			0
sialic acid-containing glycans (sialosides)		1			0
multi-multiantennary branched N-glycans		1			0
mucin-type Core 1 and Core 2 sialylated O-glycans		1			0
glycopatterns		1			0
α2,6-sialylated N-glycan		1			0
N-linked complex sugar chain		1			0
I antigen	I antigen	1	G56045WU	gsd_strict	2
blood group H determinant		1			0
N-glycosylation motifs		1			0
α2,6- and α2,3-sialylated isomers		1			0
O-linked sialylated T-antigen [Neu5Ac(alpha2-3)-Gal(beta1-3)-GalNAcalpha1]		1			0
carboxymethyllysine		1			0
fructose		1			0
core 2 o-glycans	Core 2	1	G00033MO	gsd_strict	2
mistletoe lectin I		1			0
glycosylated endosialin		1			0
sialyl Lewis C		1			0
Lewis X (CD15/SSEA-1)		1			0
triantennary N-linked glycans		1			0
bisected hybrid-type glycans		1			0
blood group A trisaccharide (BG-Atri)		1			0
sialyl 6-sulfo Lewis X (G152 glycan)		1			0
cyclic sialyl 6-sulfo Lewis X (G159 glycan)		1			0
tetraantennary glycan		1			0
glycoxidation products		1			0
AβPP 115 kDa		1			0
N-glycosylated residues		1			0
hybrid/complex type glycopeptides with mannose as hexose units		1			0
agalactosylated fucosylated structures		1			0
asialylated fucosylated structures		1			0
glycation adducts		1			0
Tn glycoform		1			0
3-nitrotyrosine		1			0
N(epsilon)-carboxymethyl-lysine		1			0
3-deoxyglucosone-derived hydroimidazolone		1			0
N-formylkynurenine		1			0
Glyc-AChE		1			0
Glyc-BuChE		1			0
glycosylated gp120		1			0
lactamized neuraminic acid		1			0
sulfated sialylparagloboside		1			0
ganglioside GM4		1			0
tri- or tetraantennary complex type glycans		1			0
sialylated tri- or tetraantennary complex type glycans		1			0
N-glycosylated Asn(88)		1			0
Sialyl Lewis a (Si-Le(a))		1			0
type 2 Lewis antigens		1			0
type 1 Lewis antigens		1			0
N(epsilon)-[carboxymethyl]-lysine (CML)		1			0
sialyl Lewis-type oligosaccharides		1			0
advanced glycosylation end product (AGE)		1			0
overfucosylation		1			0
undersialylation		1			0
D-glu-LPPA-1		1			0
D-gal-LPPA-1		1			0
α-D-glucosylated eugenol		1			0
sugar chain composition		1			0
glycosylated ALCAM		1			0
O-glycosylated tandem repeat domain		1			0
N-acetylgalactosaminyltransferase 3 (GalNAc-T3)		1			0
N-glycanase-treated basigin		1			0
basigin		1			0
saccharides		1			0
sLex moiety		1			0
N glycosylation		1			0
glucosylation		1			0
Lactosylceramide (LacCer)		1			0
high-mannose-type, nonsialylated, nonfucosylated carbohydrate moieties		1			0
hypogalactosylated hinge region		1			0
Hyaluronan	Hyaluronan	1	G29086KO	gsd_strict	2
Peanut Agglutinin		1			0
Man6		1			0
Man7		1			0
6'-sulfo-sialyl Lewis X	6'-Sulfo Sialyl Lewis x	1	G00672PE	gsd_strict	2
2-naphthylmethyl 3,4,6-tetra-O-acetyl-beta-D-galactopyranosyl-(1 --> 4)-2-acetamido-3,6-di-O-acetyl-2-deoxy-beta-D-glucopyranoside		1			0
2-naphthylmethyl 2-acetamido-3,4,6-tri-O-acetyl-2-deoxy-beta-D-glucopyranosyl-(1 --> 3)-2,4,6-tri-O-acetyl-beta-D-galactopyranoside		1			0
2-naphthylmethyl 2,3,4,6-tetra-O-acetyl-beta-D-galactopyranosyl-(1 --> 3)-2-acetamido-4,6-di-O-acetyl-2-deoxy-alpha-D-galactopyranoside		1			0
2-naphthylmethyl 2-acetamido-3,4,6-tri-O-acetyl-2-deoxy-beta-D-glucopyranosyl-(1 --> 3)-2-acetamido-4,6-di-O-acetyl-2-deoxy-alpha-D-galactopyranoside		1			0
2-naphthylmethyl 2-acetamido-3,4,6-tri-O-acetyl-2-deoxy-beta-D-glucopyranosyl-(1 --> 6)-2-acetamido-3,4-di-O-acetyl-2-deoxy-alpha-D-galactopyranoside		1			0
Fucosylation	fucosylation	1		gsd_strict	2
sialylated core-2 O-glycans		1			0
O-GalNAc		1			0
nonreducing terminal GlcNAc residues		1			0
sialyl Lewis x structure		1			0
mammalian-like N-glycans		1			0
core-fucosylated N-glycan	Core-fucosylated	1	G78059CC	gsd_strict	2
beta1,6GlcNAc-branching		1			0
maltooligosaccharide		1			0
glycans released from bovine ribonuclease B		1			0
glycans released from bovine fetuin		1			0
glycans released from chicken ovalbumin		1			0
Neu5Acα2-6GalNAcα-glycan		1			0
α2, 3 sialic acid in SLea		1			0
N156		1			0
N262		1			0
N410		1			0
CMP-sialic acid		1			0
high mannose- and two complex-type glycans		1			0
N-glycans of the oligomannosidic type		1			0
fucose residues		1			0
triantennary and biantennary structures		1			0
G2F glycosylation profile		1			0
N-linked glycan composition		1			0
beta-1,6-GlcNAc branching		1			0
alternatively glycosylated MUC1		1			0
alternatively glycosylated MUC5AC		1			0
Axl N-glycans		1			0
MUC1 O-glycosylation		1			0
non-human and human glycans		1			0
Neu5Acα2,6-Tn		1			0
Neu5Gcα2,6-Tn		1			0
Glycosaminoglycans		1			0
Glc3Man9GlcNAc2		1			0
Glc3Man7-9GlcNAc2		1			0
sialylated O-glycosylated ligand CD99		1			0
sialic acid-containing glycan		1			0
glycosylated variants		1			0
complex glycosylated mature form		1			0
GSL-4A		1			0
O-linked glycan chains		1			0
N-linked glycan attached to asparagine 61		1			0
complex N-glycan of the V3 loop		1			0
Lewis y	Lewis y	1	G00052MO	gsd_strict	2
G81		1			0
Lewis histo-blood group and related glycans		1			0
extended Lea and Lex containing glycans		1			0
sialyl-Tn (STn) antigen		1			0
O-glycan compositions (33-mer hinge core peptides + xGalNAc + yGal + zNeu5Ac)		1			0
monogalactosylated triantennary structure		1			0
polysaccharide-based multi-ingredient supplement		1			0
simple glycans		1			0
monoglucosylated glycans		1			0
high-mannose N-glycan		1			0
Gal		1			0
hybrid glycans		1			0
beta1,6GlcNAc-branched N-glycans		1			0
sialylated keratan sulfate		1			0
trisialylated triantennary structures		1			0
tetrasialylated triantennary structures		1			0
Thomsen-Friedenreich antigen (TFα; Galβ1-3GalNAcα)		1			0
GalNAc Le(x)		1			0
Sialic Acid (Sia)		1			0
mucin 1 glycans		1			0
sialyl-Le X		1			0
VIM-2	VIM-2	1	G22418PV	gsd_strict	2
glycosylated hemoglobin (HbA(1c))		1			0
6'-sulfo-sialyl Lewis X (6'-sulfo-sLe x)		1			0
carboxymethyllysine (CML)		1			0
oxidized phosphatidylcholine (Ox-PC)		1			0
MUC1-N		1			0
CD24		1			0
T-antigen (Gal beta(1-3)GalNAc alpha 1-O-R)		1			0
fucosylated exosome		1			0
terminal α2,6-sialylation		1			0
glycosylated isoforms of alpha-1-antitrypsin		1			0
tetrasaccharide-core O-linked carbohydrate moieties		1			0
Tn (GalNAc-Ser/Thr)		1			0
STn (NeuAcα2,6GalNAc-Ser/Thr)		1			0
fucose-terminated glycans		1			0
6-sulfo-sialyl Lewis(x) oligosaccharide		1			0
GlcNAc residues		1			0
N-glycosylation site deletions		1			0
bi- and triantennary glycans		1			0
Thomsen-Friedenreich disaccharide	T antigen	1	G00031MO	gsd_strict	2
high Mannose oligosaccharides	High mannose	1	G55220VL	gsd_loose	2
biantennary galactosylated N-glycans		1			0
LNT		1			0
LSTa		1			0
LSTc		1			0
sialyl-Tn antigen (NeuAc-GalNAc-O-Ser/Thr)		1			0
desialylation		1			0
alpha3-fucosylation		1			0
O-glycosidic linkages to sugar residues		1			0
sialyl Lewis-X (sLeX)		1			0
sLex glycopolymers		1			0
fucosylated triantennary glycans		1			0
DG9-glycan index		1			0
alpha2,3-linked sialic acid residues		1			0
poly-N-acetyllactosaminyl side chains		1			0
sialyl Lex structures		1			0
Asn-linked core oligosaccharide		1			0
Ser/Thr-linked mannose		1			0
O-linked carbohydrate unit		1			0
PD-L1 N-link glycosylation		1			0
differential glycosylation		1			0
fucosylated GP73		1			0
glycosylated mature molecules		1			0
glycated hCD59		1			0
D-N-acetylglucosamine		1			0
glucosylceramide	Glucosylceramide	1	G71142DF	gsd_strict	2
GnGn structures		1			0
Congenital disorder of glycosylation		1			0
ALG9-CDG		1			0
ALG3-CDG		1			0
COG6-CDG		1			0
MGAT2-CDG		1			0
SLC35A2-CDG		1			0
O-Acetyl-GD3		1			0
sialyl Lewis X tetrasaccharide		1			0
A type histoblood group epitope		1			0
sialylated glycoforms		1			0
tandem core repeat sequence		1			0
core-fucosylated alpha-fetoprotein		1			0
Bacteroidales O-glycosylation motif		1			0
heparan sulfate-like glucosaminoglycan		1			0
Gal(beta 1-3)GalNAc		1			0
bacterial polysaccharides		1			0
SLEX	Sialyl Lewis x	1	G00054MO	gsd_strict	2
SLEA	Sialyl Lewis a	1	G00053MO	gsd_strict	2
tri-antennary carbohydrate moieties		1			0
bi-antennary moieties		1			0
mono-antennary		1			0
tri- and tetra-antennary oligosaccharides		1			0
hyperglycosylated N-terminal CD109 fragment		1			0
glycosylation of CD83		1			0
core oligosaccharide structure		1			0
glycan epitope		1			0
sialyl Tn (STN), NeuAcα2-6-GalNAc		1			0
α(1,2)fucosylated glycans		1			0
bisected hybrid or complex type glycan		1			0
biantennary fucosylated complex type glycan		1			0
